"kol","lnk","gosp","gosc","frek","nFrek"
12,"https://www.laczynaspilka.pl/rozgrywki/mecz/korona-sa-kielce,wisla-plock-s-a,1650267.html","KORONA SA KIELCE","WIS£A P£OCK S.A.","Mecz ogl¹da³o 6069 osób","6069"
12,"https://www.laczynaspilka.pl/rozgrywki/mecz/jagiellonia-bialystok-ssa,kks-lech-poznan,1650265.html","JAGIELLONIA BIA£YSTOK SSA","KKS LECH POZNAÑ","Mecz ogl¹da³o 12156 osób","12156"
12,"https://www.laczynaspilka.pl/rozgrywki/mecz/gks-piast-gliwice-s-a,sandecja-nowy-sacz,1650269.html","GKS PIAST GLIWICE S.A.","SANDECJA NOWY S¥CZ","Mecz ogl¹da³o 4248 osób","4248"
12,"https://www.laczynaspilka.pl/rozgrywki/mecz/bruk-bet-termalica-nieciecza,arka-gdynia-ssa,1650263.html","BRUK-BET TERMALICA NIECIECZA","ARKA GDYNIA SSA","Mecz ogl¹da³o 2155 osób","2155"
12,"https://www.laczynaspilka.pl/rozgrywki/mecz/slask-wroclaw,wisla-krakow-sa,1650270.html","ŒL¥SK WROC£AW","WIS£A KRAKÓW SA","Mecz ogl¹da³o 21503 osób","21503"
12,"https://www.laczynaspilka.pl/rozgrywki/mecz/zaglebie-lubin,gornik-zabrze-ssa,1650266.html","ZAG£ÊBIE LUBIN","GÓRNIK ZABRZE SSA","Mecz ogl¹da³o 11256 osób","11256"
12,"https://www.laczynaspilka.pl/rozgrywki/mecz/legia-warszawa-s-a,lechia-gdansk,1650268.html","LEGIA WARSZAWA S.A.","LECHIA GDAÑSK","Mecz ogl¹da³o 18574 osób","18574"
12,"https://www.laczynaspilka.pl/rozgrywki/mecz/cracovia-ssa-krakow,pogon-szczecin,1650264.html","CRACOVIA SSA KRAKÓW","POGOÑ SZCZECIN","Mecz ogl¹da³o 5769 osób","5769"
13,"https://www.laczynaspilka.pl/rozgrywki/mecz/zaglebie-lubin,gks-piast-gliwice-s-a,1650273.html","ZAG£ÊBIE LUBIN","GKS PIAST GLIWICE S.A.","Mecz ogl¹da³o 6021 osób","6021"
13,"https://www.laczynaspilka.pl/rozgrywki/mecz/gornik-zabrze-ssa,korona-sa-kielce,1650272.html","GÓRNIK ZABRZE SSA","KORONA SA KIELCE","Mecz ogl¹da³o 22708 osób","22708"
13,"https://www.laczynaspilka.pl/rozgrywki/mecz/sandecja-nowy-sacz,cracovia-ssa-krakow,1650276.html","SANDECJA NOWY S¥CZ","CRACOVIA SSA KRAKÓW","Mecz ogl¹da³o 2953 osób","2953"
13,"https://www.laczynaspilka.pl/rozgrywki/mecz/pogon-szczecin,bruk-bet-termalica-nieciecza,1650275.html","POGOÑ SZCZECIN","BRUK-BET TERMALICA NIECIECZA","Mecz ogl¹da³o 3146 osób","3146"
13,"https://www.laczynaspilka.pl/rozgrywki/mecz/lechia-gdansk,kks-lech-poznan,1650274.html","LECHIA GDAÑSK","KKS LECH POZNAÑ","Mecz ogl¹da³o 13493 osób","13493"
13,"https://www.laczynaspilka.pl/rozgrywki/mecz/arka-gdynia-ssa,jagiellonia-bialystok-ssa,1650271.html","ARKA GDYNIA SSA","JAGIELLONIA BIA£YSTOK SSA","Mecz ogl¹da³o 11097 osób","11097"
13,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-krakow-sa,legia-warszawa-s-a,1650277.html","WIS£A KRAKÓW SA","LEGIA WARSZAWA S.A.","Mecz ogl¹da³o 33000 osób","33000"
13,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-plock-s-a,slask-wroclaw,1650278.html","WIS£A P£OCK S.A.","ŒL¥SK WROC£AW","Mecz ogl¹da³o 3613 osób","3613"
14,"https://www.laczynaspilka.pl/rozgrywki/mecz/slask-wroclaw,pogon-szczecin,1650286.html","ŒL¥SK WROC£AW","POGOÑ SZCZECIN","Mecz ogl¹da³o 12445 osób","12445"
14,"https://www.laczynaspilka.pl/rozgrywki/mecz/kks-lech-poznan,wisla-krakow-sa,1650283.html","KKS LECH POZNAÑ","WIS£A KRAKÓW SA","Mecz ogl¹da³o 26361 osób","26361"
14,"https://www.laczynaspilka.pl/rozgrywki/mecz/gks-piast-gliwice-s-a,wisla-plock-s-a,1650284.html","GKS PIAST GLIWICE S.A.","WIS£A P£OCK S.A.","Mecz ogl¹da³o 3784 osób","3784"
14,"https://www.laczynaspilka.pl/rozgrywki/mecz/cracovia-ssa-krakow,bruk-bet-termalica-nieciecza,1650279.html","CRACOVIA SSA KRAKÓW","BRUK-BET TERMALICA NIECIECZA","Mecz ogl¹da³o 6431 osób","6431"
14,"https://www.laczynaspilka.pl/rozgrywki/mecz/sandecja-nowy-sacz,gornik-zabrze-ssa,1650285.html","SANDECJA NOWY S¥CZ","GÓRNIK ZABRZE SSA","Mecz ogl¹da³o 1440 osób","1440"
14,"https://www.laczynaspilka.pl/rozgrywki/mecz/jagiellonia-bialystok-ssa,zaglebie-lubin,1650280.html","JAGIELLONIA BIA£YSTOK SSA","ZAG£ÊBIE LUBIN","Mecz ogl¹da³o 8375 osób","8375"
14,"https://www.laczynaspilka.pl/rozgrywki/mecz/legia-warszawa-s-a,arka-gdynia-ssa,1650282.html","LEGIA WARSZAWA S.A.","ARKA GDYNIA SSA","Mecz ogl¹da³o 14433 osób","14433"
14,"https://www.laczynaspilka.pl/rozgrywki/mecz/lechia-gdansk,korona-sa-kielce,1650281.html","LECHIA GDAÑSK","KORONA SA KIELCE","Mecz ogl¹da³o 7066 osób","7066"
15,"https://www.laczynaspilka.pl/rozgrywki/mecz/korona-sa-kielce,slask-wroclaw,1650291.html","KORONA SA KIELCE","ŒL¥SK WROC£AW","Mecz ogl¹da³o 8147 osób","8147"
15,"https://www.laczynaspilka.pl/rozgrywki/mecz/arka-gdynia-ssa,lechia-gdansk,1650287.html","ARKA GDYNIA SSA","LECHIA GDAÑSK","Mecz ogl¹da³o 14112 osób","14112"
15,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-plock-s-a,jagiellonia-bialystok-ssa,1650294.html","WIS£A P£OCK S.A.","JAGIELLONIA BIA£YSTOK SSA","Mecz ogl¹da³o 4111 osób","4111"
15,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-krakow-sa,sandecja-nowy-sacz,1650293.html","WIS£A KRAKÓW SA","SANDECJA NOWY S¥CZ","Mecz ogl¹da³o 14007 osób","14007"
15,"https://www.laczynaspilka.pl/rozgrywki/mecz/gornik-zabrze-ssa,kks-lech-poznan,1650289.html","GÓRNIK ZABRZE SSA","KKS LECH POZNAÑ","Mecz ogl¹da³o 24563 osób","24563"
15,"https://www.laczynaspilka.pl/rozgrywki/mecz/bruk-bet-termalica-nieciecza,gks-piast-gliwice-s-a,1650288.html","BRUK-BET TERMALICA NIECIECZA","GKS PIAST GLIWICE S.A.","Mecz ogl¹da³o 2612 osób","2612"
15,"https://www.laczynaspilka.pl/rozgrywki/mecz/zaglebie-lubin,cracovia-ssa-krakow,1650290.html","ZAG£ÊBIE LUBIN","CRACOVIA SSA KRAKÓW","Mecz ogl¹da³o 5219 osób","5219"
15,"https://www.laczynaspilka.pl/rozgrywki/mecz/pogon-szczecin,legia-warszawa-s-a,1650292.html","POGOÑ SZCZECIN","LEGIA WARSZAWA S.A.","Mecz ogl¹da³o 6192 osób","6192"
16,"https://www.laczynaspilka.pl/rozgrywki/mecz/jagiellonia-bialystok-ssa,bruk-bet-termalica-nieciecza,1650295.html","JAGIELLONIA BIA£YSTOK SSA","BRUK-BET TERMALICA NIECIECZA","Mecz ogl¹da³o 6973 osób","6973"
16,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-krakow-sa,pogon-szczecin,1650301.html","WIS£A KRAKÓW SA","POGOÑ SZCZECIN","Mecz ogl¹da³o 11398 osób","11398"
16,"https://www.laczynaspilka.pl/rozgrywki/mecz/gks-piast-gliwice-s-a,cracovia-ssa-krakow,1650299.html","GKS PIAST GLIWICE S.A.","CRACOVIA SSA KRAKÓW","Mecz ogl¹da³o 4296 osób","4296"
16,"https://www.laczynaspilka.pl/rozgrywki/mecz/sandecja-nowy-sacz,kks-lech-poznan,1650300.html","SANDECJA NOWY S¥CZ","KKS LECH POZNAÑ","Mecz ogl¹da³o 2544 osób","2544"
16,"https://www.laczynaspilka.pl/rozgrywki/mecz/lechia-gdansk,wisla-plock-s-a,1650297.html","LECHIA GDAÑSK","WIS£A P£OCK S.A.","Mecz ogl¹da³o 7670 osób","7670"
16,"https://www.laczynaspilka.pl/rozgrywki/mecz/slask-wroclaw,arka-gdynia-ssa,1650302.html","ŒL¥SK WROC£AW","ARKA GDYNIA SSA","Mecz ogl¹da³o 8421 osób","8421"
16,"https://www.laczynaspilka.pl/rozgrywki/mecz/legia-warszawa-s-a,gornik-zabrze-ssa,1650298.html","LEGIA WARSZAWA S.A.","GÓRNIK ZABRZE SSA","Mecz ogl¹da³o 24890 osób","24890"
16,"https://www.laczynaspilka.pl/rozgrywki/mecz/zaglebie-lubin,korona-sa-kielce,1650296.html","ZAG£ÊBIE LUBIN","KORONA SA KIELCE","Mecz ogl¹da³o 3784 osób","3784"
17,"https://www.laczynaspilka.pl/rozgrywki/mecz/cracovia-ssa-krakow,lechia-gdansk,1650305.html","CRACOVIA SSA KRAKÓW","LECHIA GDAÑSK","Brak danych na temat widowni",NA
17,"https://www.laczynaspilka.pl/rozgrywki/mecz/gornik-zabrze-ssa,jagiellonia-bialystok-ssa,1650306.html","GÓRNIK ZABRZE SSA","JAGIELLONIA BIA£YSTOK SSA","Brak danych na temat widowni",NA
17,"https://www.laczynaspilka.pl/rozgrywki/mecz/pogon-szczecin,gks-piast-gliwice-s-a,1650309.html","POGOÑ SZCZECIN","GKS PIAST GLIWICE S.A.","Mecz ogl¹da³o 1611 osób","1611"
17,"https://www.laczynaspilka.pl/rozgrywki/mecz/arka-gdynia-ssa,sandecja-nowy-sacz,1650303.html","ARKA GDYNIA SSA","SANDECJA NOWY S¥CZ","Mecz ogl¹da³o 5064 osób","5064"
17,"https://www.laczynaspilka.pl/rozgrywki/mecz/korona-sa-kielce,legia-warszawa-s-a,1650307.html","KORONA SA KIELCE","LEGIA WARSZAWA S.A.","Mecz ogl¹da³o 15200 osób","15200"
17,"https://www.laczynaspilka.pl/rozgrywki/mecz/kks-lech-poznan,wisla-plock-s-a,1650308.html","KKS LECH POZNAÑ","WIS£A P£OCK S.A.","Mecz ogl¹da³o 13587 osób","13587"
17,"https://www.laczynaspilka.pl/rozgrywki/mecz/slask-wroclaw,zaglebie-lubin,1650310.html","ŒL¥SK WROC£AW","ZAG£ÊBIE LUBIN","Mecz ogl¹da³o 10057 osób","10057"
17,"https://www.laczynaspilka.pl/rozgrywki/mecz/bruk-bet-termalica-nieciecza,wisla-krakow-sa,1650304.html","BRUK-BET TERMALICA NIECIECZA","WIS£A KRAKÓW SA","Mecz ogl¹da³o 4510 osób","4510"
18,"https://www.laczynaspilka.pl/rozgrywki/mecz/jagiellonia-bialystok-ssa,pogon-szczecin,1650312.html","JAGIELLONIA BIA£YSTOK SSA","POGOÑ SZCZECIN","Mecz ogl¹da³o 4111 osób","4111"
18,"https://www.laczynaspilka.pl/rozgrywki/mecz/lechia-gdansk,slask-wroclaw,1650314.html","LECHIA GDAÑSK","ŒL¥SK WROC£AW","Mecz ogl¹da³o 8313 osób","8313"
18,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-plock-s-a,arka-gdynia-ssa,1650318.html","WIS£A P£OCK S.A.","ARKA GDYNIA SSA","Mecz ogl¹da³o 2883 osób","2883"
18,"https://www.laczynaspilka.pl/rozgrywki/mecz/zaglebie-lubin,bruk-bet-termalica-nieciecza,1650313.html","ZAG£ÊBIE LUBIN","BRUK-BET TERMALICA NIECIECZA","Mecz ogl¹da³o 2447 osób","2447"
18,"https://www.laczynaspilka.pl/rozgrywki/mecz/sandecja-nowy-sacz,legia-warszawa-s-a,1650316.html","SANDECJA NOWY S¥CZ","LEGIA WARSZAWA S.A.","Mecz ogl¹da³o 2619 osób","2619"
18,"https://www.laczynaspilka.pl/rozgrywki/mecz/gks-piast-gliwice-s-a,kks-lech-poznan,1650315.html","GKS PIAST GLIWICE S.A.","KKS LECH POZNAÑ","Mecz ogl¹da³o 4560 osób","4560"
18,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-krakow-sa,gornik-zabrze-ssa,1650317.html","WIS£A KRAKÓW SA","GÓRNIK ZABRZE SSA","Mecz ogl¹da³o 16808 osób","16808"
18,"https://www.laczynaspilka.pl/rozgrywki/mecz/cracovia-ssa-krakow,korona-sa-kielce,1650311.html","CRACOVIA SSA KRAKÓW","KORONA SA KIELCE","Mecz ogl¹da³o 5661 osób","5661"
19,"https://www.laczynaspilka.pl/rozgrywki/mecz/sandecja-nowy-sacz,jagiellonia-bialystok-ssa,1650324.html","SANDECJA NOWY S¥CZ","JAGIELLONIA BIA£YSTOK SSA","Mecz ogl¹da³o 724 osób","724"
19,"https://www.laczynaspilka.pl/rozgrywki/mecz/gornik-zabrze-ssa,lechia-gdansk,1650319.html","GÓRNIK ZABRZE SSA","LECHIA GDAÑSK","Mecz ogl¹da³o 20163 osób","20163"
19,"https://www.laczynaspilka.pl/rozgrywki/mecz/slask-wroclaw,gks-piast-gliwice-s-a,1650326.html","ŒL¥SK WROC£AW","GKS PIAST GLIWICE S.A.","Mecz ogl¹da³o 5645 osób","5645"
19,"https://www.laczynaspilka.pl/rozgrywki/mecz/korona-sa-kielce,arka-gdynia-ssa,1650320.html","KORONA SA KIELCE","ARKA GDYNIA SSA","Mecz ogl¹da³o 7713 osób","7713"
19,"https://www.laczynaspilka.pl/rozgrywki/mecz/legia-warszawa-s-a,bruk-bet-termalica-nieciecza,1650322.html","LEGIA WARSZAWA S.A.","BRUK-BET TERMALICA NIECIECZA","Mecz ogl¹da³o 11373 osób","11373"
19,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-krakow-sa,wisla-plock-s-a,1650325.html","WIS£A KRAKÓW SA","WIS£A P£OCK S.A.","Mecz ogl¹da³o 10141 osób","10141"
19,"https://www.laczynaspilka.pl/rozgrywki/mecz/pogon-szczecin,zaglebie-lubin,1650323.html","POGOÑ SZCZECIN","ZAG£ÊBIE LUBIN","Mecz ogl¹da³o 2634 osób","2634"
19,"https://www.laczynaspilka.pl/rozgrywki/mecz/kks-lech-poznan,cracovia-ssa-krakow,1650321.html","KKS LECH POZNAÑ","CRACOVIA SSA KRAKÓW","Mecz ogl¹da³o 20692 osób","20692"
20,"https://www.laczynaspilka.pl/rozgrywki/mecz/gks-piast-gliwice-s-a,legia-warszawa-s-a,1650333.html","GKS PIAST GLIWICE S.A.","LEGIA WARSZAWA S.A.","Mecz ogl¹da³o 5243 osób","5243"
20,"https://www.laczynaspilka.pl/rozgrywki/mecz/jagiellonia-bialystok-ssa,korona-sa-kielce,1650330.html","JAGIELLONIA BIA£YSTOK SSA","KORONA SA KIELCE","Mecz ogl¹da³o 4774 osób","4774"
20,"https://www.laczynaspilka.pl/rozgrywki/mecz/arka-gdynia-ssa,gornik-zabrze-ssa,1650327.html","ARKA GDYNIA SSA","GÓRNIK ZABRZE SSA","Mecz ogl¹da³o 7077 osób","7077"
20,"https://www.laczynaspilka.pl/rozgrywki/mecz/bruk-bet-termalica-nieciecza,slask-wroclaw,1650328.html","BRUK-BET TERMALICA NIECIECZA","ŒL¥SK WROC£AW","Mecz ogl¹da³o 2009 osób","2009"
20,"https://www.laczynaspilka.pl/rozgrywki/mecz/zaglebie-lubin,kks-lech-poznan,1650331.html","ZAG£ÊBIE LUBIN","KKS LECH POZNAÑ","Mecz ogl¹da³o 7629 osób","7629"
20,"https://www.laczynaspilka.pl/rozgrywki/mecz/lechia-gdansk,pogon-szczecin,1650332.html","LECHIA GDAÑSK","POGOÑ SZCZECIN","Mecz ogl¹da³o 9548 osób","9548"
20,"https://www.laczynaspilka.pl/rozgrywki/mecz/cracovia-ssa-krakow,wisla-krakow-sa,1650329.html","CRACOVIA SSA KRAKÓW","WIS£A KRAKÓW SA","Mecz ogl¹da³o 14000 osób","14000"
20,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-plock-s-a,sandecja-nowy-sacz,1650334.html","WIS£A P£OCK S.A.","SANDECJA NOWY S¥CZ","Mecz ogl¹da³o 1719 osób","1719"
21,"https://www.laczynaspilka.pl/rozgrywki/mecz/korona-sa-kielce,gks-piast-gliwice-s-a,1650336.html","KORONA SA KIELCE","GKS PIAST GLIWICE S.A.","Mecz ogl¹da³o 5277 osób","5277"
21,"https://www.laczynaspilka.pl/rozgrywki/mecz/slask-wroclaw,jagiellonia-bialystok-ssa,1650342.html","ŒL¥SK WROC£AW","JAGIELLONIA BIA£YSTOK SSA","Mecz ogl¹da³o 4504 osób","4504"
21,"https://www.laczynaspilka.pl/rozgrywki/mecz/pogon-szczecin,arka-gdynia-ssa,1650339.html","POGOÑ SZCZECIN","ARKA GDYNIA SSA","Mecz ogl¹da³o 3587 osób","3587"
21,"https://www.laczynaspilka.pl/rozgrywki/mecz/sandecja-nowy-sacz,lechia-gdansk,1650340.html","SANDECJA NOWY S¥CZ","LECHIA GDAÑSK","Mecz ogl¹da³o 834 osób","834"
21,"https://www.laczynaspilka.pl/rozgrywki/mecz/legia-warszawa-s-a,wisla-plock-s-a,1650338.html","LEGIA WARSZAWA S.A.","WIS£A P£OCK S.A.","Mecz ogl¹da³o 13707 osób","13707"
21,"https://www.laczynaspilka.pl/rozgrywki/mecz/kks-lech-poznan,bruk-bet-termalica-nieciecza,1650337.html","KKS LECH POZNAÑ","BRUK-BET TERMALICA NIECIECZA","Mecz ogl¹da³o 8102 osób","8102"
21,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-krakow-sa,zaglebie-lubin,1650341.html","WIS£A KRAKÓW SA","ZAG£ÊBIE LUBIN","Mecz ogl¹da³o 10515 osób","10515"
21,"https://www.laczynaspilka.pl/rozgrywki/mecz/gornik-zabrze-ssa,cracovia-ssa-krakow,1650335.html","GÓRNIK ZABRZE SSA","CRACOVIA SSA KRAKÓW","Mecz ogl¹da³o 17873 osób","17873"
22,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-plock-s-a,gornik-zabrze-ssa,1650350.html","WIS£A P£OCK S.A.","GÓRNIK ZABRZE SSA","Mecz ogl¹da³o 4367 osób","4367"
22,"https://www.laczynaspilka.pl/rozgrywki/mecz/zaglebie-lubin,legia-warszawa-s-a,1650346.html","ZAG£ÊBIE LUBIN","LEGIA WARSZAWA S.A.","Mecz ogl¹da³o 9655 osób","9655"
22,"https://www.laczynaspilka.pl/rozgrywki/mecz/pogon-szczecin,sandecja-nowy-sacz,1650349.html","POGOÑ SZCZECIN","SANDECJA NOWY S¥CZ","Mecz ogl¹da³o 4895 osób","4895"
22,"https://www.laczynaspilka.pl/rozgrywki/mecz/cracovia-ssa-krakow,slask-wroclaw,1650345.html","CRACOVIA SSA KRAKÓW","ŒL¥SK WROC£AW","Mecz ogl¹da³o 450 osób","450"
22,"https://www.laczynaspilka.pl/rozgrywki/mecz/lechia-gdansk,wisla-krakow-sa,1650347.html","LECHIA GDAÑSK","WIS£A KRAKÓW SA","Mecz ogl¹da³o 7915 osób","7915"
22,"https://www.laczynaspilka.pl/rozgrywki/mecz/bruk-bet-termalica-nieciecza,korona-sa-kielce,1650344.html","BRUK-BET TERMALICA NIECIECZA","KORONA SA KIELCE","Mecz ogl¹da³o 2128 osób","2128"
22,"https://www.laczynaspilka.pl/rozgrywki/mecz/arka-gdynia-ssa,kks-lech-poznan,1650343.html","ARKA GDYNIA SSA","KKS LECH POZNAÑ","Mecz ogl¹da³o 12568 osób","12568"
22,"https://www.laczynaspilka.pl/rozgrywki/mecz/gks-piast-gliwice-s-a,jagiellonia-bialystok-ssa,1650348.html","GKS PIAST GLIWICE S.A.","JAGIELLONIA BIA£YSTOK SSA","Mecz ogl¹da³o 3147 osób","3147"
